Location,Product Type,Product,Client Part,Qty,Retail Price,Discount,Price Charged,Refund,Gallons,Alcohol Level,Cost,Brand,Product Group,Product SubGroup
Tasting Room,wine,2016 Estate Blend PN MAGNUM,0217,3,300,-70,230,0,0.594387117,Under 14%,45,,Current Releases; Large Format; Pinot Noir;,Current Releases;
Tasting Room,wine,2016 Flora's Reserve Pinot Noir,0137,-3,-300,75,-225,-225,-0.594387117,Under 14%,-45,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2016 Flora's Reserve Pinot Noir,0137,101,10100,-2230,7870,0,20.01103294,Under 14%,1515,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2016 Hendricks Legacy Pinot Noir,0132,36,1440,-378,1062,0,7.132645404,Under 14%,540,,Current Releases; Pinot Noir;,Current Releases;
Tasting Room,wine,2016 Laurelwood Blend Pinot Noir,0127,-18,-634,138.7,-495.3,-502.3,-3.566322702,Under 14%,-270,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2016 Laurelwood Blend Pinot Noir,0127,994,34990,-6203.68,28786.32,0,196.9402648,Under 14%,14910,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2016 Pinot Noir Nouveau,0065,2,24,0,24,0,0.396258078,Under 14%,30,,Current Releases;,Current Releases;
Tasting Room,wine,2016 Steve's Reserve Pinot Noir,0136,-1,-60,15,-45,-45,-0.198129039,Under 14%,-15,,Current Releases;,Current Releases;
Tasting Room,wine,2016 Steve's Reserve Pinot Noir,0136,228,13680,-3222.93,10457.07,0,45.17342089,Under 14%,3420,,Current Releases;,Current Releases;
Tasting Room,wine,2016 Sweet Sammy - Dessert Wine,0090,19,665,-112,553,0,1.882225871,Under 14%,0,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2016 Tre Figli Vineyard Pinot Noir,0131,-1,-40,0,-40,-27.83,-0.198129039,Under 14%,-15,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2016 Tre Figli Vineyard Pinot Noir,0131,78,3120,-711.97,2408.03,0,15.45406504,Under 14%,1170,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2016 Tuenge Vineyard Pinot Noir,0130,0,0,-6,-6,-18.56,0,Under 14%,0,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2016 Tuenge Vineyard Pinot Noir,0130,94,3760,-926.25,2833.75,0,18.62412967,Under 14%,1410,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2016 Willamette Valley Pinot Noir,0135,338,8450,-4207.5,4242.5,0,66.96761518,Under 14%,5070,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2016 Winemaker's Reserve Pinot Noir,0138,-14,-840,186,-654,-643.75,-2.773806546,Under 14%,-210,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2016 Winemaker's Reserve Pinot Noir,0138,635,38100,-7690.93,30409.07,0,125.8119398,Under 14%,9525,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Burgundy Pinot Noir,0261,2,50,-12.5,37.5,0,0.396258078,Under 14%,30,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Chardonnay,0300,9,315,-75.25,239.75,239.75,1.783161351,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Current Releases;
Tasting Room,wine,2017 Chardonnay,0300,674,22558,-4333.58,18224.42,0,133.5389723,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Current Releases;
Tasting Room,wine,2017 Chardonnay - KEG,0243,2,360,0,360,0,11.04239177,Under 14%,30,,Current Releases; Large Format;,Current Releases; Current Releases;
Tasting Room,wine,2017 Chardonnay Reserve,0390,-3,-135,33.75,-101.25,-101.25,-0.594387117,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Current Releases;
Tasting Room,wine,2017 Chardonnay Reserve,0390,77,3465,-812.25,2652.75,0,15.255936,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Current Releases;
Tasting Room,wine,2017 Estate Blend Pinot Noir,0203,-19,-950,182.5,-767.5,-770.25,-3.764451741,Under 14%,-285,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Estate Blend Pinot Noir,0203,1057,52830,-11048.13,41781.87,0,209.4223942,Under 14%,15855,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Flora's Reserve Pinot Noir,0208,-7,-700,165,-535,-535,-1.386903273,Under 14%,-105,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2017 Flora's Reserve Pinot Noir,0208,245,24500,-5348.58,19151.42,0,48.54161456,Under 14%,3675,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2017 Gamay Noir,0326,-29,-485,55,-430,-430,-5.745742131,Under 14%,0,,Current Releases;,Current Releases;
Tasting Room,wine,2017 Gamay Noir,0326,364,6194,-736.95,5457.05,0,72.1189702,Under 14%,0,,Current Releases;,Current Releases;
Tasting Room,wine,2017 Gerwurtztraminer,0195,5,175,-35,140,0,0.990645195,Under 14%,0,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2017 Hendricks Legacy Pinot Noir,0207,-22,-880,120,-760,-767.55,-4.358838858,Under 14%,-330,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Hendricks Legacy Pinot Noir,0207,1032,41280,-7302,33978,0,204.4691682,Under 14%,15480,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Laurel Hill Pinot Noir - KEG,0236,8,1560,0,1560,0,44.16956709,Under 14%,120,,Current Releases; Large Format;,Current Releases; Current Releases;
Tasting Room,wine,2017 Laurelwood Blend Pinot Noir,0204,-30,-1080,169.2,-910.8,-916.3,-5.94387117,Under 14%,-450,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Laurelwood Blend Pinot Noir,0204,1171,41736,-7773.53,33962.47,0,232.0091047,Under 14%,17565,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Rosé of Pinot Gris,0193,3,66,-17.6,48.4,0,0.594387117,Under 14%,30,,Current Releases; Whites and Rosé;,Current Releases; Current Releases;
Tasting Room,wine,2017 Steve's Reserve Pinot Noir,0254,-6,-360,90,-270,-270,-1.188774234,Under 14%,-90,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Steve's Reserve Pinot Noir,0254,541,32510,-7218.09,25291.91,0,107.1878101,Under 14%,8115,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Tre Figli Vineyard Pinot Noir,0205,1,45,-11.25,33.75,0,0.198129039,Under 14%,15,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2017 Tuenge Vineyard Pinot Noir,0209,6,265,-28.25,236.75,0,1.188774234,Under 14%,90,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2017 White Estate Blend,0252,11,660,-135,525,0,2.179419429,Under 14%,0,,Current Releases; Other;,Current Releases; Current Releases;
Tasting Room,wine,2017 Willamette Valley Pinot Noir,0133,-56,-1184,115,-1069,-1070.47,-11.09522618,Under 14%,-840,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Willamette Valley Pinot Noir,0133,2944,72192,-15639.3,56552.7,0,583.2918908,Under 14%,44160,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Willamette Valley Pinot Noir PICK UP,0342,-2,-2,0,-2,-2,-0.396258078,Under 14%,-30,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Willamette Valley Pinot Noir PICK UP,0342,389,861,-2.2,858.8,0,77.07219617,Under 14%,5835,,Current Releases; Pinot Noir;,Current Releases; Current Releases;
Tasting Room,wine,2017 Winemaker's Reserve Pinot Noir,0255,-6,-360,90,-270,-270,-1.188774234,Under 14%,-90,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2017 Winemaker's Reserve Pinot Noir,0255,244,14695,-3816.97,10878.03,0,48.34348552,Under 14%,3660,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2018 Chardonnay - KEG,0352,4,720,0,720,0,22.08478355,Under 14%,60,,Current Releases; Large Format;,Current Releases; Current Releases;
Tasting Room,wine,2018 Chardonnay Petillant,0249,-1,-25,6.25,-18.75,-18.75,-0.198129039,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Current Releases;
Tasting Room,wine,2018 Chardonnay Petillant,0249,1,25,-6.25,18.75,0,0.198129039,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Current Releases;
Tasting Room,wine,2018 Chardonnay Reserve,0302,-3,-135,33.75,-101.25,-101.25,-0.594387117,Under 14%,0,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2018 Chardonnay Reserve,0302,96,4320,-1062,3258,0,19.02038774,Under 14%,0,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2018 Gerwurtztraminer,0325,14,490,-59.07,430.93,0,1.386903273,Under 14%,0,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2018 Pinot Gris,0247,58,900,-81,819,0,11.49148426,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Current Releases;
Tasting Room,wine,2018 Rosé of Pinot Gris,0248,3,54,-18,36,0,0.594387117,Under 14%,30,,Current Releases; Whites and Rosé;,Current Releases; Current Releases;
Tasting Room,wine,2018 Roya Vineyard Chardonnay,0372,1,45,-11.25,33.75,0,0.198129039,Under 14%,15,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2018 Roya Vineyard Pinot Noir,0371,-4,-240,54,-186,-204.71,-0.792516156,Under 14%,-60,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2018 Roya Vineyard Pinot Noir,0371,184,11040,-2631,8409,0,36.45574318,Under 14%,2760,,Current Releases;,Current Releases; Current Releases;
Tasting Room,wine,2019 Chardonnay Petillant,0332,-34,-734,53.65,-680.35,-686.69,-6.736387326,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Other;
Tasting Room,wine,2019 Chardonnay Petillant,0332,1001,28429,-5521.6,22907.4,0,198.327168,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Other;
Tasting Room,wine,2019 Gamay Nouveau,0309,28,616,-117.7,498.3,0,5.547613092,Under 14%,0,,Current Releases;,Other;
Tasting Room,wine,2019 Gamay Nouveau MAGNUM,0310,2,88,-13.2,74.8,0,0.396258078,Under 14%,0,,Current Releases;,Other;
Tasting Room,wine,2019 Merten Vineyard Pinot Gris,0356,-12,-360,90,-270,-270,-2.377548468,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Other;
Tasting Room,wine,2019 Merten Vineyard Pinot Gris,0356,90,2700,-619.5,2080.5,0,17.83161351,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Other;
Tasting Room,wine,2019 Pinot Gris,0330,-38,-656,47.3,-608.7,-631.55,-7.528903482,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Other;
Tasting Room,wine,2019 Pinot Gris,0330,1912,40824,-7275.24,33548.76,0,378.8227226,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Other;
Tasting Room,wine,2019 Rosé of Pinot Noir,0331,-12,-264,30.8,-233.2,-239.04,-2.377548468,Under 14%,-120,,Current Releases; Whites and Rosé;,Current Releases; Other;
Tasting Room,wine,2019 Rosé of Pinot Noir,0331,1658,36016,-6148.21,29867.79,0,328.4979467,Under 14%,16580,,Current Releases; Whites and Rosé;,Current Releases; Other;
Tasting Room,wine,2019 Rosé of Pinot Noir - PICKUP,0391,2,10,0,10,10,0.396258078,Under 14%,20,,Current Releases; Whites and Rosé;,Current Releases; Other;
Tasting Room,wine,2019 Rosé of Pinot Noir - PICKUP,0391,79,395,-5,390,0,15.65219408,Under 14%,790,,Current Releases; Whites and Rosé;,Current Releases; Other;
Tasting Room,wine,2019 Ruby Waves Sparkling Rose,0333,-48,-1140,117.45,-1022.55,-1031.44,-9.510193872,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Other;
Tasting Room,wine,2019 Ruby Waves Sparkling Rose,0333,1629,45939,-8608.6,37330.4,0,322.7522045,Under 14%,0,,Current Releases; Whites and Rosé;,Current Releases; Other;
Tasting Room,wine,2020 Gamay Nouveau,0396,6,150,-27.5,122.5,0,1.188774234,Under 14%,0,,Current Releases;,Current Releases;
Tasting Room,wine,Complimentary Tasting - Other,0011,0,0,0,0,0,0,Under 14%,0,,Tasting;,
Tasting Room,wine,Complimentary Tasting - Other,0011,112,0,0,0,0,0,Under 14%,0,,Tasting;,
Tasting Room,wine,Complimentary Tasting - Wine Club,0010,-10,0,0,0,0,0,Under 14%,0,,Tasting;,
Tasting Room,wine,Complimentary Tasting - Wine Club,0010,764,0,0,0,0,0,Under 14%,0,,Tasting;,
Tasting Room,wine,Packing Material,0125,-1,-5,0,-5,-5,-0.198129039,n/a,0,,Merchandise;,
Tasting Room,wine,Packing Material,0125,1,5,0,5,0,0.198129039,n/a,0,,Merchandise;,
Tasting Room,wine,Tasting - Discounted,0052,-1,-10,0,-10,-10,0,Under 14%,0,,Tasting;,
Tasting Room,wine,Tasting - Discounted,0052,2,20,0,20,0,0,Under 14%,0,,Tasting;,
Tasting Room,wine,Tasting - Private Seated,0264,2,100,0,100,0,0,n/a,0,,Tasting;,
Tasting Room,wine,Tasting - Regular,0009,-6,-120,-60,-180,-180,0,Under 14%,0,,Tasting;,
Tasting Room,wine,Tasting - Regular,0009,781,15620,-3380,12240,0,0,Under 14%,0,,Tasting;,
Tasting Room,wine,Tasting - Regular Split,0266,26,0,0,0,0,0,n/a,0,,Tasting;,
Tasting Room,wine,Tasting - Reserve,0115,-3,-45,-30,-75,-75,0,n/a,0,,Tasting;,
Tasting Room,wine,Tasting - Reserve,0115,407,10705,-3280,7425,0,0,n/a,0,,Tasting;,
Tasting Room,wine,Tasting - Reserve Split,0267,14,0,0,0,0,0,n/a,0,,Tasting;,
Tasting Room,wine,Wine Club Glass Pour,0327,28,0,0,0,0,5.547613092,Under 14%,0,,Glass;,
